"protein_id","n_valid","loess_corr","loess_mae_z","loess_converged","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X17510.7",143,-0.857433967375133,1.57732765047212,TRUE,6450,"SRP14","Signal recognition particle 14 kDa protein","SRP14","P37108"
"X18231.147",145,-0.857478603878465,1.49123907129353,TRUE,6451,"PRND","Prion-like protein doppel","PRND","Q9UKY0"
"X25917.12",146,-0.857964821892028,1.57367369955159,TRUE,6452,"HEXA","Beta-hexosaminidase alpha chain","Hexosaminidase A","P06865"
"X23645.49",146,-0.858265621324366,1.41839797480301,TRUE,6453,"HACL1","2-hydroxyacyl-CoA lyase 1","HACL1","Q9UJ83"
"X9951.36",146,-0.858778522920531,1.59079925148608,TRUE,6454,"FBXL4","F-box/LRR-repeat protein 4:Leucine-rich repeats 2 and 3","FBXL4:LRR2 and LRR3","Q9UKA2"
"X6248.68",146,-0.859121742785634,1.43017478678109,TRUE,6455,"FAS","Tumor necrosis factor receptor superfamily member 6","Fas, soluble","P25445"
"X22796.17",143,-0.859387889956454,1.53483514064165,TRUE,6456,"TADA1","Transcriptional adapter 1","TADA1","Q96BN2"
"X12784.10",146,-0.860479196634131,1.58743095423086,TRUE,6457,"APBB3","Amyloid beta A4 precursor protein-binding family B member 3:Phosphotyrosine Interaction Domain 1,Isoform II","APBB3:PID 1","O95704"
"X15297.3",143,-0.860627949928176,1.56982698664366,TRUE,6458,"S100A3","Protein S100-A3","S100A3","P33764"
"X12855.16",144,-0.860641406447827,1.57267260472917,TRUE,6459,"CASS4","Cas scaffolding protein family member 4","CT032","Q9NQ75"
"X9955.40",145,-0.860682552742533,1.57765334620832,TRUE,6460,"RNF148","RING finger protein 148:region 2","RN148:region 2","Q8N7C7"
"X9945.8",146,-0.860857124126043,1.58304006281763,TRUE,6461,"ARMC5","Armadillo repeat-containing protein 5:Armadillo Repeat Domain 2","ARMC5:ARM 2","Q96C12"
"X5615.62",144,-0.861136064470101,1.48262510005605,TRUE,6462,"FAM172A","Protein FAM172A","F172A","Q8WUF8"
"X21356.6",146,-0.861427871766888,1.55749790108054,TRUE,6463,"B9D2","B9 domain-containing protein 2","B9D2","Q9BPU9"
"X8878.48",145,-0.861588548842995,1.5835812469946,TRUE,6464,"YTHDC1","YTH domain-containing protein 1","YTDC1","Q96MU7"
"X12735.39",143,-0.861817614683418,1.66747217230825,TRUE,6465,"CSDE1","Cold shock domain-containing protein E1","CSDE1","O75534"
"X13465.5",142,-0.861845221378781,1.51901057611363,TRUE,6466,"RCAN1","Calcipressin-1","CCP1","P53805"
"X10722.13",146,-0.861960055377947,1.54928889293564,TRUE,6467,"SYK","Tyrosine-protein kinase SYK:Protein kinase domain","KSYK:Protein Kinase","P43405"
"X8984.28",143,-0.862006410861526,1.61047216046688,TRUE,6468,"LRCH4","Leucine-rich repeat and calponin homology domain-containing protein 4:Leucine-rich repeat 5","LRCH4: LRR5","O75427"
"X14082.56",145,-0.862024982579906,1.6641494549111,TRUE,6469,"TLN2","Talin-2","TLN2","Q9Y4G6"
"X13447.42",145,-0.862300283642992,1.57882562711644,TRUE,6470,"SPRN","Shadow of prion protein","SPRN","Q5BIV9"
"X20089.172",145,-0.862756946891245,1.60435262243733,TRUE,6471,"SULT1C4","Sulfotransferase 1C4","ST1C4","O75897"
"X11402.17",145,-0.862871382623998,1.61982934052978,TRUE,6472,"KMT2C","Histone-lysine N-methyltransferase 2C","KMT2C","Q8NEZ4"
"X7148.42",144,-0.863338384305277,1.43836112165442,TRUE,6473,"ANTKMT","Protein FAM173A","F173A","Q9BQD7"
"X16302.11",145,-0.864040328088924,1.5854417391261,TRUE,6474,"BPIFA2","BPI fold-containing family A member 2","SPLC2","Q96DR5"
"X4237.70",143,-0.864095760508435,1.54198243310717,TRUE,6475,"LCMT1","Leucine carboxyl methyltransferase 1","LCMT1","Q9UIC8"
"X9199.6",145,-0.865103516693765,1.58538800467168,TRUE,6476,"UBE2G2","Ubiquitin-conjugating enzyme E2 G2","UB2G2","P60604"
