"protein_id","rank_EMCI","loess_corr_EMCI","rank_LMCI","loess_corr_LMCI","rank_AD","loess_corr_AD"
"X11138.16",5763,-0.673616744094585,5325,-0.316845925131793,2841,0.159587829529239
"X23202.78",5764,-0.673720158003242,3933,-0.0539665032837271,2453,0.274585232092482
"X15466.30",5765,-0.673807241353882,1102,0.568067440775291,6605,-0.852961327391006
"X24432.3",5766,-0.67410834992503,3578,0.0184653359132182,1126,0.633886357210024
"X8038.41",5767,-0.674795541910683,1786,0.390199226232642,6923,-0.940475955626574
"X25416.5",5768,-0.674815033306295,3725,-0.0122372163109791,2328,0.3104890414472
"X5680.54",5769,-0.674999385492712,3209,0.0947363955743919,991,0.672446785425421
"X11708.2",5770,-0.675119578325497,6644,-0.715088518499503,2887,0.147940875204352
"X9426.73",5771,-0.675923390460003,3260,0.0842957052002527,2984,0.121579767611608
"X13636.20",5772,-0.676211939039514,2415,0.248122695940664,3821,-0.142745659101255
"X21926.24",5773,-0.676699109341177,1731,0.406004221450621,2262,0.328440946124559
"X13661.193",5774,-0.677768597772563,1276,0.523175393591872,3136,0.0745698467415798
"X23292.1",5775,-0.677874824921706,4496,-0.150940982180291,1023,0.664958994183316
"X15539.15",5776,-0.678157952953322,654,0.68809506469068,2991,0.120440654741312
"X11107.25",5777,-0.678293144556694,317,0.786158598428901,520,0.792704819395948
"X2644.11",5778,-0.67832075388557,3701,-0.00622616961284471,2260,0.329546417973718
"X9250.87",5779,-0.678364818673398,5107,-0.262339421301047,4519,-0.351183351183351
"X4184.43",5780,-0.678735589804095,6458,-0.639380044657146,3432,-0.017524478375517
"X8055.33",5781,-0.678975430733301,6363,-0.610194786914453,4844,-0.43469254897319
"X12825.18",5782,-0.67938371239912,962,0.606704726881703,3989,-0.194505270495091
"X9027.10",5783,-0.679472998549763,3640,0.0050232858430735,1607,0.504714485341003
"X19212.4",5784,-0.679509296530573,3990,-0.0661380384527775,3029,0.110151045879282
"X7221.56",5785,-0.6805046293161,5969,-0.491001083649237,2588,0.233328730280852
"X7106.37",5786,-0.680594243268338,328,0.785163985087612,4656,-0.388049901510177
"X11439.88",5787,-0.68080015280696,4140,-0.095283180423319,5746,-0.679364515726
"X19222.124",5788,-0.680818769510606,2654,0.204520178807282,1899,0.432180597476212
"X24276.171",5789,-0.681966542341407,172,0.827846314628493,4329,-0.294904420903119
"X9600.55",5790,-0.682127670034167,3181,0.100332855870535,4331,-0.295436091278174
"X21638.5",5791,-0.683387409974682,2851,0.163599286661916,1482,0.541334751991488
"X15692.300",5792,-0.683897203706033,6554,-0.677808965541676,900,0.698270891416865
"X13441.30",5793,-0.68418234815887,228,0.809025028436838,5034,-0.487241091147854
"X12530.14",5794,-0.684700535382117,5975,-0.49313367449645,5380,-0.573495594130935
"X17671.58",5795,-0.684910383926441,405,0.760532291384655,2727,0.195754120511876
"X3892.21",5796,-0.684999716726364,3210,0.094612990679074,3707,-0.103671896728328
"X21128.2",5797,-0.685668215877834,1035,0.585611150710214,5634,-0.64413873569534
"X6957.14",5798,-0.686093159449454,2372,0.256886571619188,4419,-0.323008879572912
"X17337.1",5799,-0.686309314110729,2445,0.242726485300235,3841,-0.148119653061359
"X13403.5",5800,-0.686479034603448,2575,0.220901419433151,795,0.724947886870122
"X2986.49",5801,-0.686748764840351,3761,-0.017053013971748,2549,0.246043536362835
"X11144.10",5802,-0.686859376152201,4646,-0.178551041859403,3606,-0.0709619650379536
"X4220.39",5803,-0.6871211215118,4613,-0.17378595484939,1832,0.450793650793651
"X4304.18",5804,-0.688414079590984,5614,-0.393811031960522,3811,-0.138348030222327
"X3622.33",5805,-0.688468911485248,6299,-0.592660768850336,1002,0.669006966632071
"X13388.57",5806,-0.688493965538431,1502,0.465611453537329,1713,0.476505423390789
"X8390.25",5807,-0.689747100388713,40,0.88181281791222,5532,-0.612962195787549
"X18183.3",5808,-0.689954529330194,921,0.61903751894458,3330,0.0130266385222886
"X13375.48",5809,-0.690269891600914,6753,-0.75851175022095,3401,-0.00718370337206699
"X12699.28",5810,-0.690374357839884,2684,0.198622924101387,1633,0.498333037422817
"X15435.4",5811,-0.690622083350241,1306,0.517991272623221,3979,-0.191895379028019
"X24417.22",5812,-0.691259248334685,2477,0.238229294008307,2088,0.376115418253076
"X8287.17",5813,-0.691365970650804,5055,-0.251943361379027,3596,-0.0660857250209543
"X10663.42",5814,-0.691368102396996,667,0.685247298516671,3086,0.0894950894950895
"X24698.12",5815,-0.691710154415606,2121,0.31570828625308,4240,-0.269215897759417
"X7713.50",5816,-0.691977761151673,6864,-0.80849102807847,4358,-0.303255391169268
"X4452.9",5817,-0.691999723021334,830,0.641909793439022,5005,-0.480460042216567
"X12671.35",5818,-0.692051052043498,872,0.63216926283127,3647,-0.0825888466052083
"X22987.69",5819,-0.692586122782997,2618,0.212028892171116,553,0.784879630177612
"X10015.119",5820,-0.692862133868825,5765,-0.429088775186196,1143,0.629927732076042
