"protein_id","n_valid","loess_corr","loess_corr_abs","loess_mae_z","loess_converged","effective_span","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X19325.21",491,0.245692323640357,0.245692323640357,1.05631843409392,TRUE,0.75,2882,"ABHD14B","Protein ABHD14B","ABHEB","Q96IU4"
"X16309.30",491,0.245307038562674,0.245307038562674,0.946405018582573,TRUE,0.75,2883,"DKKL1","Dickkopf-like protein 1","Soggy-1","Q9UK85"
"X17725.37",491,0.245296303635171,0.245296303635171,1.04461614365024,TRUE,0.75,2884,"USH1C","Harmonin","USH1C","Q9Y6N9"
"X13698.28",488,0.245215048772421,0.245215048772421,0.96769671884268,TRUE,0.75,2885,"KIAA0319L","Dyslexia-associated protein KIAA0319-like protein","K319L","Q8IZA0"
"X11187.11",495,0.245124644286555,0.245124644286555,1.08893449368726,TRUE,0.75,2886,"CLEC12A","C-type lectin domain family 12 member A","CL12A","Q5QGZ9"
"X4673.13",484,0.245065268088213,0.245065268088213,0.848176922292962,TRUE,0.75,2887,"IL6","Interleukin-6","IL-6","P05231"
"X21716.29",494,0.244782005061087,0.244782005061087,0.94718020040844,TRUE,0.75,2888,"FUT7","Alpha-(1,3)-fucosyltransferase","FUT7","Q11130"
"X17400.71",488,0.244472185367514,0.244472185367514,1.00909936964193,TRUE,0.75,2889,"ACOT8","Acyl-coenzyme A thioesterase 8","ACOT8","O14734"
"X8321.27",486,0.243656288319772,0.243656288319772,0.851392557326046,TRUE,0.75,2890,"ZNF843","Zinc finger protein 843","ZN843","Q8N446"
"X7268.12",494,0.242824932111308,0.242824932111308,0.975248264057524,TRUE,0.75,2891,"IFNA4","Interferon alpha-4","IFNA4","P05014"
"X13689.2",488,0.242228223720342,0.242228223720342,1.06914683351055,TRUE,0.75,2892,"ODC1","Ornithine decarboxylase","Ornithine decarboxylase","P11926"
"X8404.102",480,0.242120373765898,0.242120373765898,0.86426254698163,TRUE,0.75,2893,"BOLA2","BolA-like protein 2","BolA-like protein 2","Q9H3K6"
"X15398.2",491,0.241991730026993,0.241991730026993,0.998040062693003,TRUE,0.75,2894,"GFER","FAD-linked sulfhydryl oxidase ALR","HERV1","P55789"
"X12459.13",491,0.241903314953255,0.241903314953255,0.957637155096144,TRUE,0.75,2895,"PLEKHA1","Pleckstrin homology domain-containing family A member 1","PKHA1","Q9HB21"
"X18840.205",493,0.241864583243092,0.241864583243092,0.958181143779268,TRUE,0.75,2896,"SH2D1B","SH2 domain-containing protein 1B","SH21B","O14796"
"X18244.1",486,0.241817917230239,0.241817917230239,1.11089847008272,TRUE,0.75,2897,"ANXA7","Annexin A7","ANXA7","P20073"
"X10636.1",489,0.241691858093286,0.241691858093286,1.03250357786149,TRUE,0.75,2898,"CD200R1","Cell surface glycoprotein CD200 receptor 1:Isoform 4, Cytoplasmic Domain","MO2R1:CD","Q8TD46"
"X25895.29",488,0.241670332048767,0.241670332048767,0.861435706854804,TRUE,0.75,2899,"CASP5","Caspase-5","Caspase-5","P51878"
"X23325.18",482,0.241391205884627,0.241391205884627,0.934878075910899,TRUE,0.75,2900,"BMERB1","Uncharacterized protein C16orf45","CP045","Q96MC5"
"X22771.6",489,0.241348691133006,0.241348691133006,0.964353835315712,TRUE,0.75,2901,"SAMD12","Sterile alpha motif domain-containing protein 12","SAM12","Q8N8I0"
"X20941.7",495,0.241020675087993,0.241020675087993,0.987017483621227,TRUE,0.75,2902,"UBL3","Ubiquitin-like protein 3","UBL3","O95164"
"X18331.3",491,0.240881416595987,0.240881416595987,0.947901963178952,TRUE,0.75,2903,"GBA","Glucosylceramidase","GLCM","P04062"
