"gene","rho_median","rho_mean","n_proteins"
"PTK2B",-0.34815923253444,-0.34815923253444,1
"PTK7",0.233453311218375,0.233453311218375,1
"PTN",0.15892028427362,0.15892028427362,1
"PTP4A3",0.200083820484669,0.200083820484669,1
"PTPA",0.715723609944702,0.715723609944702,1
"PTPN1",0.208138381048303,0.208138381048303,1
"PTPN11",0.425336859265915,0.425336859265915,2
"PTPN4",0.400532015887966,0.400532015887966,1
"PTPN6",-0.355048176409273,-0.355048176409273,1
"PTPRD",0.58126021762367,0.58126021762367,1
"PTPRJ",0.520970608216808,0.520970608216808,1
"PTPRR",0.389373007248626,0.389373007248626,1
