"EntrezGeneSymbol","rho_median","rho_mean","n_proteins","best_protein","Category1","Category2"
"BTG1",0.343751782342698,0.343751782342698,1,"BTG1","Others",NA
"BTG4",0.146635780294439,0.146635780294439,1,"BTG4","Others",NA
"BTK",-0.216515171802286,-0.216515171802286,2,"BTK.19202.10","Microglia / Immune",NA
"BTLA",0.0885214166402309,0.0885214166402309,1,"BTLA","Others",NA
"BTN1A1",0.113514507509715,0.113514507509715,1,"BTN1A1","Others",NA
"BTN2A1",0.284278366867254,0.284278366867254,1,"BTN2A1","Others",NA
"BTN2A2",0.166610663980944,0.166610663980944,1,"BTN2A2","Others",NA
"BTN3A2",0.0981301557532333,0.0981301557532333,1,"BTN3A2","Others",NA
"BTN3A3",0.225217430693884,0.225217430693884,2,"BTN3A3.17692.2","Others",NA
"BUD31",-0.254558774117534,-0.254558774117534,1,"BUD31","Others",NA
"C11orf49",-0.17511302344883,-0.17511302344883,1,"C11orf49.23767.1","Others",NA
"C11orf68",0.33235386431973,0.33235386431973,1,"C11orf68","Others",NA
"C11orf87",0.28757556014901,0.28757556014901,1,"C11orf87","Others",NA
"C16orf54",-0.123997607806058,-0.123997607806058,1,"C16orf54","Others",NA
"C17orf67",0.166741668448174,0.166741668448174,1,"C17orf67","Others",NA
"C17orf78",-0.0906940518909721,-0.0906940518909721,1,"C17orf78.6571.75","Others",NA
"C1GALT1.C1GALT1C1",0.254577612459092,0.254577612459092,1,"C1GALT1.C1GALT1C1","Others",NA
"C1GALT1C1",0.255298413068169,0.255298413068169,1,"C1GALT1C1","Others",NA
"C1QBP",0.0948566009959535,0.0948566009959535,1,"C1QBP","Others",NA
"C1QL1",0.247120859670549,0.247120859670549,1,"C1QL1","Others",NA
"C1QL2",0.288181458454694,0.288181458454694,1,"C1QL2.6423.66","Others",NA
"C1QL3",0.386485768298752,0.386485768298752,1,"C1QL3","Others",NA
"C1QL4",0.126031392114245,0.126031392114245,1,"C1QL4","Others",NA
"C1QTNF1",0.231554992729885,0.231554992729885,1,"C1QTNF1","Others",NA
"C1QTNF3",0.0987165407513164,0.0987165407513164,1,"C1QTNF3","Others",NA
"C1QTNF4",0.238671520413575,0.245550789795946,3,"C1QTNF4.23200.25","Others",NA
"C1QTNF5",0.18667326437786,0.18667326437786,1,"C1QTNF5","Others",NA
"C1QTNF9",-0.0881558328485185,-0.0881558328485185,1,"C1QTNF9.16605.2","Others",NA
"C1S",0.192858142522648,0.192858142522648,2,"C1S.20203.45","Others",NA
"C1orf210",-0.102121687604865,-0.102121687604865,1,"C1orf210","Others",NA
"C20orf202",0.209498292123286,0.209498292123286,1,"C20orf202","Others",NA
"C2orf68",0.123693758495116,0.123693758495116,1,"C2orf68","Others",NA
"C2orf73",0.185070596574508,0.185070596574508,1,"C2orf73","Others",NA
"C3",-0.0905047964585227,-0.0905047964585227,1,"C3.2754.50","Microglia / Immune",NA
"C4A.C4B",0.109051533468667,0.109051533468667,1,"C4A.C4B.2182.54","Others",NA
"C4BPB",-0.0988572198000721,-0.0988572198000721,1,"C4BPB","Others",NA
"C5",-0.0891041018820607,-0.0891041018820607,1,"C5.2851.63","Others",NA
"C5orf38",0.398789276290669,0.398789276290669,1,"C5orf38","Others",NA
"C5orf46",0.101858403048055,0.101858403048055,1,"C5orf46","Others",NA
"C7",0.134043229677506,0.134043229677506,1,"C7.2888.49","Others",NA
"C7orf69",-0.127027685157023,-0.127027685157023,1,"C7orf69","Others",NA
"CA10",0.21176720805669,0.21176720805669,2,"CA10.3289.19","Others",NA
"CA11",0.120212774464234,0.120212774464234,1,"CA11","Others",NA
"CA12",-0.0972299292288664,-0.0972299292288664,1,"CA12","Others",NA
"CA13",-0.122688212659637,-0.122688212659637,1,"CA13","Others",NA
"CA4",0.24160353936647,0.24160353936647,1,"CA4.3177.49","Others",NA
"CA5A",0.150290504404084,0.150290504404084,1,"CA5A","Others",NA
"CA7",-0.103221350336076,-0.103221350336076,1,"CA7","Others",NA
"CAB39",0.388347554040717,0.388347554040717,1,"CAB39","Others",NA
"CAB39L",0.345338659524643,0.345338659524643,1,"CAB39L","Others",NA
"CABLES2",0.154447332501521,0.154447332501521,1,"CABLES2","Others",NA
"CABP7",-0.157827176382245,-0.157827176382245,1,"CABP7","Others",NA
"CACNA2D3",0.300713061374334,0.300713061374334,1,"CACNA2D3","Others",NA
"CACNB3",0.2097153495331,0.2097153495331,1,"CACNB3","Others",NA
"CACNB4",0.213350063874221,0.213350063874221,1,"CACNB4","Others",NA
"CACYBP",0.392769601049287,0.392769601049287,1,"CACYBP","Others",NA
"CADM1",0.283640298162243,0.283640298162243,1,"CADM1","Others",NA
"CADM2",0.310882828910902,0.310882828910902,1,"CADM2","Others",NA
"CADM3",0.30238365243286,0.30238365243286,1,"CADM3","Others",NA
"CALB1",-0.133542640945856,-0.133542640945856,1,"CALB1","Others",NA
"CALB2",0.388856014841636,0.388856014841636,1,"CALB2","Others",NA
"CALCB",0.0951040484497509,0.0951040484497509,1,"CALCB","Others",NA
"CALCOCO2",0.279009570733181,0.279009570733181,1,"CALCOCO2","Others",NA
"CALCR",-0.140980943691833,-0.140980943691833,1,"CALCR","Others",NA
"CALR",-0.194648958356886,-0.194648958356886,1,"CALR","Others",NA
"CALY",0.224499934183425,0.224499934183425,1,"CALY","Others",NA
"CAMK1",0.107831387579055,0.107831387579055,1,"CAMK1","Others",NA
"CAMK2A",0.149140214960566,0.149140214960566,1,"CAMK2A","Tau Kinases","Synaptic Proteins"
"CAMK2B",0.274692614328858,0.274692614328858,1,"CAMK2B","Tau Kinases","Synaptic Proteins"
"CAMK2D",0.185293437680427,0.185293437680427,1,"CAMK2D","Tau Kinases",NA
"CAMK2N2",0.214691481694242,0.214691481694242,1,"CAMK2N2","Others",NA
"CAMK4",0.208064489969036,0.208064489969036,1,"CAMK4","Others",NA
"CAMLG",0.428241098278695,0.428241098278695,1,"CAMLG","Others",NA
"CAMP",-0.167603616678931,-0.167603616678931,1,"CAMP.9384.17","Others",NA
"CAND1",0.272279981223567,0.272279981223567,1,"CAND1","Others",NA
"CANT1",0.178395066602496,0.178395066602496,1,"CANT1","Others",NA
"CAPG",0.187276238256321,0.187276238256321,1,"CAPG","Others",NA
"CAPN1.CAPNS1",0.258373343515126,0.258373343515126,1,"CAPN1.CAPNS1","Others",NA
"CAPN13",0.195029209657034,0.195029209657034,1,"CAPN13","Others",NA
"CAPN2",0.263864078900862,0.263864078900862,1,"CAPN2","Others",NA
"CAPN3",-0.140189331719202,-0.140189331719202,1,"CAPN3","Others",NA
"CAPN9",0.166963834380086,0.166963834380086,1,"CAPN9","Others",NA
"CAPNS1",0.256107371431103,0.256107371431103,1,"CAPNS1","Others",NA
"CAPNS2",0.0940904906190105,0.0940904906190105,1,"CAPNS2","Others",NA
"CAPS",0.120267347337961,0.120267347337961,1,"CAPS","Others",NA
"CARD9",-0.157474342164175,-0.157474342164175,1,"CARD9","Others",NA
"CARTPT",-0.155134022329385,-0.155134022329385,1,"CARTPT","Others",NA
"CASK",0.169874763230914,0.169874763230914,1,"CASK","Others",NA
"CASP10",0.19534061736245,0.19534061736245,1,"CASP10.5340.24","Others",NA
"CASP8",-0.101382238679142,-0.101382238679142,1,"CASP8","Others",NA
"CASQ2",0.10982478314964,0.10982478314964,1,"CASQ2","Others",NA
"CAST",0.245326512485764,0.245326512485764,1,"CAST","Others",NA
"CAV3",-0.0899977208469039,-0.0899977208469039,1,"CAV3","Others",NA
"CBFB",-0.129716291017177,-0.129716291017177,1,"CBFB","Others",NA
