"protein_id","n_valid","raw_spearman_rho","residual_spearman_rho","p_value","age_effect_r2","fdr","significant_fdr05","significant_fdr01","sig_cat","direction","rho_shift","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X6948.82",482,-0.0161153730399167,-0.0236897788765009,0.603886537549166,0.00308582237858367,0.665234344320162,FALSE,FALSE,"Not significant","Negative",-0.00757440583658416,"FIG4","Polyphosphoinositide phosphatase","FIG4","Q92562"
"X12409.90",487,0.0223782416213266,0.023540198549257,0.604302162212904,6.76942300889579e-05,0.665587523003363,FALSE,FALSE,"Not significant","Positive",0.00116195692793032,"RAB7B","Ras-related protein Rab-7b","RAB7B","Q96AH8"
"X20946.41",492,-0.0282293639663344,-0.0233801792201472,0.604912507117985,4.84366304176548e-05,0.666155024738483,FALSE,FALSE,"Not significant","Negative",0.00484918474618722,"GTSF1","Gametocyte-specific factor 1","GTSF1","Q8WW33"
"X22137.3",489,0.0203163605315442,0.0234272109624053,0.605296417123288,0.000268318340260884,0.666473027656182,FALSE,FALSE,"Not significant","Positive",0.0031108504308611,"FAM102B","Protein FAM102B","F102B","Q5T8I3"
"X14005.2",489,-0.0211778112396696,-0.0233691754764281,0.606190754257503,0.000248511162723362,0.667266763553441,FALSE,FALSE,"Not significant","Negative",-0.00219136423675856,"CHD7","Chromodomain-helicase-DNA-binding protein 7","CHD7","Q9P2D1"
"X4693.72",488,0.0241695560086829,0.0233921162990594,0.606207806317501,0.00156566834346306,0.667266763553441,FALSE,FALSE,"Not significant","Positive",-0.000777439709623538,"HIBADH","3-hydroxyisobutyrate dehydrogenase, mitochondrial","3HIDH","P31937"
"X15435.4",445,-0.0320205483299589,-0.0244282272901208,0.607293008272048,0.00102224019389257,0.668347249690029,FALSE,FALSE,"Not significant","Negative",0.00759232103983809,"PNP","Purine nucleoside phosphorylase","PNP","P00491"
"X23336.2",483,-0.0202368157987291,-0.0234369789498296,0.607380241474193,0.000755555042782323,0.668347249690029,FALSE,FALSE,"Not significant","Negative",-0.00320016315110046,"KCNRG","Putative potassium channel regulatory protein","KCNRG","Q8N5I3"
"X8569.147",494,-0.0196833772131465,-0.0231364254615352,0.607952219664594,9.7658975659569e-05,0.668871571972747,FALSE,FALSE,"Not significant","Negative",-0.00345304824838874,"ARL8B","ADP-ribosylation factor-like protein 8B","ARL8B","Q9NVJ2"
"X16781.2",480,0.0185616301274702,0.0234659776879445,0.608060455166352,0.000883541764653441,0.668885598059092,FALSE,FALSE,"Not significant","Positive",0.0049043475604743,"ENGASE","Cytosolic endo-beta-N-acetylglucosaminidase","ENASE","Q8NFI3"
